ECLI number,35,P12-1,P4-2,8,5,10,2,7,4,P1-2,6,P1-1,3,13,14
ECLI:CE:ECHR:2006:0601DEC004359998,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2004:1005DEC003621897,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False
ECLI:CE:ECHR:2006:0330DEC006686401,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0330DEC001834902,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0928DEC003454203,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0330DEC000204803,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
ECLI:CE:ECHR:2007:0215JUD003785097,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2007:0215JUD004385498,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
ECLI:CE:ECHR:1998:0424JUD002318494,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2011:0517DEC004601407,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2012:0216JUD000908904,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
ECLI:CE:ECHR:2015:0908DEC007411310,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
ECLI:CE:ECHR:2016:1020JUD003400007,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
ECLI:CE:ECHR:2017:1214JUD001995707,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2018:0327DEC002884807,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2013:0305DEC005438809,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
ECLI:CE:ECHR:2006:0919DEC004532099,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
ECLI:CE:ECHR:2018:1106DEC007620216,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1987:0716DEC001082584,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2018:0410DEC004392813,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2012:1106DEC000022006,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
ECLI:CE:ECHR:2018:0626DEC003923407,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2015:0127DEC003214811,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2006:0516DEC000517203,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2020:1109DEC003863617,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
ECLI:CE:ECHR:1997:0710DEC002958396,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
ECLI:CE:ECHR:2007:0918DEC005717600,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
ECLI:CE:ECHR:2017:0711DEC003908410,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True
ECLI:CE:ECHR:2019:0604DEC003047217,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
ECLI:CE:ECHR:2005:1020DEC002929203,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
