Id,Label,generation 0,generation 1,generation 2,generation
209,CASE OF BOZCAADA KİMİSİS TEODOKU RUM ORTODOKS KİLİSESİ VAKFI  v. TURKEY (No. 2),False,False,True,2
210,CASE OF ALLAN v. THE UNITED KINGDOM,False,False,True,2
211,CASE OF ÖZTÜRK v. GERMANY,False,False,True,2
212,CASE OF PORTEANU v. ROMANIA,False,False,True,2
213,CASE OF MIKULIĆ v. CROATIA,False,False,True,2
214,CASE OF GUZZARDI v. ITALY,False,False,True,2
215,CASE OF Z AND OTHERS v. THE UNITED KINGDOM,False,True,False,1
216,CASE OF MONTANARO GAUCI AND OTHERS v. MALTA,False,True,False,1
217,CASE OF ALDO AND JEAN-BAPTISTE ZANATTA v. FRANCE,False,False,True,2
218,CASE OF DOĞAN AND OTHERS v. TURKEY,True,True,False,0-1
219,CASE OF TEPE v. TURKEY,False,True,False,1
220,CASE OF KUNIC v. CROATIA,False,False,True,2
221,CASE OF VO v. FRANCE,False,False,True,2
222,CASE OF BROGAN AND OTHERS v. THE UNITED KINGDOM,False,True,False,1
223,CASE OF PAUWELS v. BELGIUM,False,False,True,2
224,CASE OF WILLIS v. THE UNITED KINGDOM,False,False,True,2
225,CASE OF PETRUSHKO v. RUSSIA,False,False,True,2
226,CASE OF ATHANASSOGLOU AND OTHERS v. SWITZERLAND,False,False,True,2
227,CASE OF FORUM MARITIME S.A. v. ROMANIA,False,False,True,2
228,CASE OF G.B. v. SWITZERLAND,False,False,True,2
229,CASE OF KOLONA v. CYPRUS,False,True,False,1
230,CASE OF MOJSIEJEW v. POLAND,False,False,True,2
231,CASE OF ALEKSANYAN v. RUSSIA,False,False,True,2
232,CASE OF MIRAGALL ESCOLANO AND OTHERS v. SPAIN (ARTICLE 41),False,False,True,2
233,CASE OF VAN DE HURK v. THE NETHERLANDS,False,False,True,2
234,CASE OF GERDZHIKOV v. BULGARIA,False,False,True,2
235,CASE OF ŞTEFĂNICĂ AND OTHERS v. ROMANIA,False,False,True,2
236,CASE OF CAKAR v. TURKEY,False,False,True,2
237,CASE OF TONI KOSTADINOV v. BULGARIA,False,False,True,2
238,CASE OF CALOGERO DIANA v. ITALY,False,False,True,2
239,CASE OF FOURCHON v. FRANCE,False,False,True,2
240,CASE OF SCOPPOLA v. ITALY (No. 3),False,False,True,2
241,CASE OF LAMBERT AND OTHERS v. FRANCE,False,True,False,1
242,CASE OF PESCADOR VALERO v. SPAIN,False,False,True,2
243,CASE OF FOGARTY v. THE UNITED KINGDOM,False,False,True,2
244,CASE OF M.S.S. v. BELGIUM AND GREECE,False,False,True,2
245,CASE OF EFE v. AUSTRIA,False,False,True,2
246,CASE OF TODOR TODOROV v. BULGARIA,False,False,True,2
247,CASE OF DI MAURO v. ITALY,False,False,True,2
248,CASE OF VANYAN v. RUSSIA,False,False,True,2
249,CASE OF ERKALO v. THE NETHERLANDS,False,False,True,2
250,CASE OF TANLI v. TURKEY,False,True,False,1
251,CASE OF LINDHEIM AND OTHERS v. NORWAY,False,True,False,1
252,CASE OF WINTERSTEIN AND OTHERS v. FRANCE [Extracts],True,True,False,0-1
253,CASE OF ARTYOMOV v. RUSSIA,False,False,True,2
254,CASE OF MARINI v. ALBANIA,False,False,True,2
255,CASE OF DODOV v. BULGARIA,False,False,True,2
256,CASE OF DIMITRESCU v. ROMANIA,False,False,True,2
257,CASE OF ALTAY v. TURKEY (No. 2),False,True,False,1
258,CASE OF X v. LATVIA,False,False,True,2
259,CASE OF BENEFICIO CAPPELLA PAOLINI v. SAN MARINO [Extracts],False,False,True,2
260,CASE OF TIMISHEV v. RUSSIA,False,False,True,2
261,CASE OF VAN DER VEN v. THE NETHERLANDS,False,False,True,2
262,CASE OF DOROGAYKIN v. RUSSIA,False,False,True,2
263,CASE OF GÜLBAHAR AND OTHERS v. TURKEY,False,False,True,2
264,CASE OF ANAGNOSTOPOULOS AND OTHERS v. GREECE,False,False,True,2
265,CASE OF GIACOMELLI v. ITALY,False,True,False,1
